Index,EVMAddress,SubstrateAddress,Balance
49,0x4075a709217C243E0D058eC88012eea06E6fB112,5EBXv3eXGrGvACohcyKUF4hdBd39LM1BnCcfuMhJhAYnk8WA,200232.2006
50,0xf588399427A5ba60747534218966AE20dC7a4B2A,5HMZapnX9wdD11paKBufk35jcCtM55av9rSasrShVaC5yB5c,200000.0000
51,0xe9094e3DC86b9443B90361093B86898F7231bC49,5Cu8NrHdBhj4juQmsA27F4ZzL8fXZoeQvGWZ9F5VjnGUhH51,400000.0000
52,0x4E50f1580280A9EdaEF973f6F247BeedcbA59395,5EZL7AMCXdaU8PXHKgT6AGtWwhLaXFtF7u6nFimE3XbcUFiG,370000.9958
53,0x7887056691765941adA17FDeB59e41Cbe18B340f,5Fo3cng2T6wKpS237GcShLayB5HLMmmC6b6gMGpDtMcEDkjL,577241.7287
54,0x21b030CC45d5eDEd8293635e30fC2adC40635C04,5CLEdcB2acLxaZAHcyapT66KTwozaEnie2cfsW8h8kEDCzpy,200231.2062
55,0x318CdfaE4fbD1d9c26dd963b269a5DF8fC2fA377,5HKKvFuED8Rt4fKpWVwz78gqzPEmQ42MUMkxqU669o3xSVvX,200000.0000
56,0x7cb9d656f3ca4ffe90fc6cad56a8ccac941b256f,5DcQWPsgsYkfyW4XZgLhDVHGzUwjHhDTtUJSb8yAao5qsAUg,200000.0000
57,0xb22B2A66A80916e10A1361C107Ab99a7313e59c7,5CVAQpVK1gr64FUKS4Rm88ZKCmNa2uB1YLCSKEWHWWyZHdTb,200000.0000
58,0x7aBE2124e221E755FA7ee6602950a8d64b293DFC,5HJeuSpz2oSFaCABfz5AEMsN3r1VAWqLKHabtQuQXbcfr9BN,195592.4767
59,0x00C9DdA392b734075A28EA66D2551e60079D7dbE,5FFMsevpJQAkcYQHbGewbwM6iacFMR9pGvK6dvWA6P1Cv7r8,185791.9133
60,0x6BeA78FAD2C52E19053b644A5e2060f43D66b410,5Cupv23p2UY6mueE6jncSMmbebew8qRuaHUzXutKpZyjekvc,400000.0000
61,0x5AAD3Bb0502dFDF8A13905437CbaF96Dc72D50da,5EuHFHK3cpr8LUaqMdu5q7Cm8YsoitXN9KKNRQRBhyncegkm,200000.0000
62,0xC2a22172a53d357081292CcaB9114709C6c3874a,5DHkR8MXHooDSmP7LY8XsuEsJVHQ7PpCoEVLrad2JSYNwR8w,400129.7494
63,0x500e49F5bF6233f32a1232aA22A80a9922eF381F,5FytZs9DEwBu3ou8aJZHZVCDFGp1F5fnxci6kssWQnhURSgg,200475.0653
64,0x22e268B2fbaE1F16Cb2FCe97E099346fB90792ee,5Cpjw3fFyC9fJj1AVMauynssinRJtFbUbBJrhRZXNcMwnAFF,200000.0000
65,0xe7E8F381fA60aD542c2862a6cBf53Bd65E4B1055,5HFxorYziZRbgu7b2sAnwMbCP44Hwwx7NisjmYTT2JL9K2c7,927756.2025
66,0xCa0e78A906A74e6181679Cc2bfd90E1b6E84b71c,5H3GH5nLphMXHfaeCEYNTXrjWb6X7EUySHPtVnUmZUhdzMM1,929915.0087
67,0x5f994C4A8e5e6C887C5ac05e5EFC2339E088600f,5F3CjQniMmLhKihg2VAMMCKbMDhgfuvfuZ4kVSfqxXLCdmBE,205751.4811
68,0xdFC685380a60E46BaF554AaB626C5E4E2a621965,5CN5uVeCcvsRYBp7Nx9KzbhorXXFfxMrwwc2r2wefmN8hG64,385283.0467
69,0x610D417bB17F14Fb684d787177babFa0cF06490a,5GFtdWU1weeRhUxBxMxTR3ebESHb1cZToLZXQafuNdh2M14a,185795.6612
70,0x856b6DC64316cBe348E7f1029881d6A263da09C0,5GKeDqMXgJLJqKWfHcQez7B3S1eNxAkE5TZtaCfwu1QHk3Sq,185087.3065
71,0x2Ae20F8C2EF0ef8c24e96937F5Cb168C87CDb54D,5G4Bt1sTuwYbH55aK8mZugtUPvKGPziAwEXAD62TLjCzEV67,200000.0000
72,0x5aD7d8CbF98324ed314cc880B97d809C80805b52,5HoCxtc1E3JAPnaoP74VJoJukoU8Bkk4q42oWQwKoiNxhPik,1424769.9916
73,0x821F95fEE0D86A16E1fe58a3d0C33b1B53Fff654,5EU7bZyEaamPQMAdncAKQZvZ2My7k5vjF8HBYxuY8kvaiiEN,1140317.9979
74,0xf88fD66E62c68186c0231F06Bc9dbb7b430437F9,5H5FmxKjXcQjQoMzPUMw44H6u7L2TPRpwZmRve2T9cEM8Qko,147441.1592
75,0xEEE6722b30e41a9689a8889a4193839E4620018b,5G1BXXZ9ac4DsYmco6hBEanFZkXperQYzzhDPximnbRA71Rw,43508.0937
76,0xe503563aa796f10252a5f03910d6096775a6f73c,5G1UWTyLfVW7RXjtbjdjY3vputFJt2YenJdR1i1i8L8v7WUo,492857.0100
77,0xBf02e75872785E86Afb6Dc7E0b7c14B512E93572,5GM6UGExBpEVTiby11X67VApL4Pem2rHixzmA7vo3EEtusC9,142921.7074
78,0xEE8b010BCAA9287515cF03c7953Dfd38cfD03a98,5FfsQXk3qjbUUbtSopsAEWGU9pgwinsUzx4a6vqCuu8TqHNa,50045.8741
79,0xbfE873b06E446991de655C5540627B0e17aE4c6a,5DT6WdS3LfkkLTQwhTqKmPqy7pCekg2q9eKTD8jia21R9Brq,107200.0000
80,0xadfF0106047D0069086d5020cc8cC866cE3FF8a2,5CYTKLv4VeCTCAJHXFiQRNFY4PkHByMdzYtt9GDciPhb6Bub,682934.9058
81,0x076727fD87bf5f02E5262314C5fbcCA53545AFC1,5DrLJKz6PUAjzK4Cwev7CA3Ut8yU41NDvTu2YfaasG2d5UuT,3288272.9916
82,0x32DBAdA93C12382eC0C66402e236Ed7C916ab43E,5HAGNCj8T54Su5hS3T8V6VyYPAXGAQ3XSF6FYRBU5t4iPakK,76288.7005
84,0x9ef3EB030C546479b702a6fCe347D50943EbD8f4,5C9FVgqA9Rpa5dxFeVTcL4c7D3jewd8YQ74Rd8ACeCuBNZA5,120000.0000
85,0xB74FCcF125d4F9F662a796d3A8550f33C3da34D3,5Fx4WZXjcTiT44Vxkay6i4FN6QVYN8G8oT5MasZdV8MTg9ZD,600000.0000
86,0x73f2313A5c0A54aE7B0001b16760Fb7B85A90e8D,5GBSfyHawQyi8RSWhCXo1Eq9pjYhGuUJpWRUGvtkWAtcunMB,6833913.6088
87,0x3C99260F8Eea6f7E42ca83B2cECed53c3Ec453D2,5FWkV6d69hENPkZbuLritk97W83A5i2wYJhPv9fNuSv1nXhB,7302370.7132
88,0x594F52D3fCcdA979Bb036bF14ea43a9D6F307F35,5GwMif2xNEjnLn2autLM31UL7vYVQFMaMJHBP2uTzvNLBDoC,3966723.2829
89,0x403280232A827497DeEC1C812Aa10593efd48D54,5HabGegJYWNooBX47ESpixwdGfaUimw8pmM3ZgmMfzeHXyva,8565098.2089
90,0x224e1ccfAD40594FDcE98785355eF498cF99c58d,5GyTzbRy9KjPrbLgXPe6FnRuhSu6tbFEHtwUB1yh3DxA2trh,1548707.1180
91,0xA6a7F5C42aD53Dd8e96b7a2A04113B3dd542652B,5FDdbXKvGp2yAkSkMS6SPJFWBXpy1a1wbxD297iDZS4yZQWE,1158203.4264
92,0xB28e2d5602280C42641471FAE46E8deF9458Ae60,5F7WdNM3r7jFihH2ERpJ3NtTXvEik6Phv4xeUAV8CLewibs1,1929382.7091
93,0xE22b5A92814090DD562c99F61209e762B28cd61F,5GyGh56nWmw5RphXGjfTy7W4DeAYzQmsvCRFgrpwSsV6zUVg,1348959.3235
94,0x467564c24C51A8E5317bA0Ffa1716DBB5e7D7F92,5CdnWk6S2SE5dSskYFfGRKbJpdS39csXwhpPzbReabjyDxiL,578708.9571
95,0xD5CE7A5aD0fc508EF2D0757cdDCBb02a834476BA,5FtABGsTTv89wvn1fC2gzoVjrGTfhDiuzLQ5tkiZiiuvecRZ,1541668.1531
96,0x67AC377cCEEE5Ad8Af68B55762E3ffF4533A25B4,5CzuzdZDJBbeKkVy68aiy2BAbhoEgbJsobh9zG4rmGYZMssZ,1936517.9183
97,0xbC9842cDE7b407E808fcEB6290D86b576684580b,5DJeVzPBdrqVh7mp3pBWSpBStWjjErp1SM47vfm3jaiLJ5kJ,1933286.4667
98,0xDfc0239a87DFEACD5018632fa774A8A38a51B991,5De8dj6P8jFW5uZzDLHY147KDfaHNTBxdifTiJxVNE1fBWno,833335.3300
99,0x02384F05F1e9a37cFD9b2D03860D1c78ABA3BCAB,5CVYYRNtrUeY7G3RpHLXSdHet2EawpcKRcAK2sVrTa3axW9W,13489583.3300
100,0xeA39c51f04202d2F19c88854Ef59570a6E7310d8,5Dyg3Lk8CBmvMEZHp6oukRStoVSkGYT7teGJgv5fLnqzGBgy,2708542.6798
101,0xB945326E83C1693Aa869B49BbD0D6F737385A999,5DeknniQhbcpag8woze3LFXSx12b3Z883SZfdjH7jn7JG73t,4166667.6698
102,0x1D76d946bcFE7314c100D7fdd2C0Be4c016a4adA,5CeswfRYETr8TTNvBYvyjCBqY9UfVCWD3R67RgcYhvjL2Gjf,3854168.6593
103,0xB34A56AA37D4eb4595009E099ADbb3D0FB01a836,5FNwWPsRR8hn95w5zXQpo1DqqTKDvGnB1UQVdwebMJaDaTCe,12500000.9998
104,0x78F648C0249d26B916b231aa74D9b294c7fDA1BC,5DrwNhAkHNvg19uYiwY3W7NdVhcMU5wF3bBKTE5xpo9ABXV6,8177582.2624
105,0x5a336b7A806e45332507EFc842c55225A86094a6,5HbwSNMYQmWwSkuhqBosiSeJfCwavtWQJwnYY7QkNvYkE4Kc,8333334.4200
107,0x3a9366171FcbA4Ea51C353B8e1771C0284660bC2,5FrMwF9V8nEjPMMDTLfWrSFGEAisiH6nYyi68PL6SGexK9di,5395835.3195
108,0x4F10B08D2274975FD164C2A739Ed292743a848B6,5Exzi7W4gPtzrQgLf3UfdFo8PFk4kAWo7aURmQ17M1YzeEcj,1927083.3356
109,0xC14dA8e283408e4542d640171C63193008C18d15,5HMBS6j41fHEVYQqqSBXgY7SFELGHGKuvNJKDHe64ysmdT2m,4011425.4056
110,0xadd0c9DF5354CcB16f56BCb6403fB4026F05fA71,5CzxsbWz1xPCVtDVWumgRwbk2LpfSmoafiaTx1pfqUrtsUsy,3700159.9494
111,0xc66E4cb44b8aDfA662Ac1c182beeB8dD91e841f4,5GA4tY2JabFFUaJCtyTs8fkD1jKjSFAaZR9Yx8Y78YHTKaio,4011072.2573
112,0x71caFd95d37661672827127CAcf8BDB2b03D7f00,5CxekBwGKM4itW9BgqHtorqcpmXsr9W5rXvoPh8WoGyz47CH,1027777.7700
113,0x7E7B1E4aEF47deDd9Ef48B9dcF96663BC2005285,5GjhDY7t39q2FP6VRYe1XbRJqqEsqB58VqAMBGA4NwWv95Mv,6000001.0000
114,0xa217f7d0B87214f7673EF169167c7809acA3E409,5CUpBFXk4X3CvLcwpiYcp9hcKtoJ38N3eiuWx8AHGCpeQrwf,4000000.9997
115,0x0555FBF2018F731A79507BE0BB2459cc05Eb27cE,5D8gQ8iC4nvufixeGxuMjDGczawdLo6XZgUMBWZx3HHNz8hR,3700000.0000
116,0xD1Edf7FC3D913c94e6C649985CE36BbC2e871d0e,5EhnCcphFnM7qnCXd6dBvHAaaybo37Go1Q2fwP4fbTaT6f5Z,9250000.9947
117,0x0E2631808c01666304FC2caE17C0D7bcC71AD176,5Dg6tXzqDUYBvL4mf27pSxBNbaHGVcqhneZpBqPtQhpQx19Z,14800000.9292
118,0xf57Ed93B5Ce0d953773b7B2A050859baBd86EE83,5HKpzwuJj42GavAvSmmStD6ntxQMsQGkVyobh3H763x3DwcK,1850023.9347
119,0x1217b30DC4E1870b43eC5AA7c29b3337dfd88E45,5H55hohWthxJdbKXmzMG7yJLN5EazY88xz7yC9qTaNWz5uZy,1850660.9305
121,0xdeb4c739018B926B57f5E29cd16383b7af0DeA5b,5FBkaJ4BSsyDQTMBJ6ugtDV1ca2oY5FSUkjgsmSJ2MDMiGb7,57750310.9914
122,0xb99E5a50DEC384d010f0fB96142323Fd1B283ef0,5HhXaADWxWMb25PDpYTQDGGjFcQPeBVtqqg1ruccgkTtkdAL,51333334.3297
123,0x1a43e5B249680A68Bd9E2E9Cf716Ff21AF1e3004,5DhwnVj3zvWmJc3fv5h3ec15yNzZfVWtSHBYiTWw44hKQ7d3,41166667.6697
125,0xa50f89381301Decb11F1918586f98c5f2077e3Ca,5FChDaUAWmLYWUouHz8VhZbHe62Pq9p31GQ6VSixe75cfjyn,1850000.9263
126,0x25C491a713D5C509A2a2B1a449055a011fab0483,5G3YfmxadJsx5oLiHbhVEfFKrGJmYKnBeb7PxmTXDK4jdmqK,8000000.9997
127,0x56264e5ec5215C3974Cfb550D3aeFA6720f5eE9D,5EDQXvuRAHYbheNDmA4kAPnHWEf9iaL17AR4dc4rFKbP5qMN,8000000.9997
